"ID_DISCENTE","ANO_INGRESSO","SEMESTRE_INGRESSO","TIPO_INGRESSO","CAMPUS","COD_CURSO","CURSO","NATURALIDADE","UF_NATURALIDADE","PAIS_NATURALIDADE","BAIRRO_ENDERECO","CIDADE_ENDERECO","UF_ENDERECO","SEXO","ANO_NASC","COTA","TIPO_COTA","ESCOLARIDADE_PAI","ESCOLARIDADE_MAE","DEFICIENCIA"
350507,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ARCOVERDE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2002",N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
349810,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ASSARE,CE,BRA,SALGADO,CARUARU,PE,M,"2002",S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
349323,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BARREIROS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"2000",S,L6,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
349733,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,F,"2000",S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
349062,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,F,"2002",S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
348598,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2002",S,L2,ENSINO MEDIO,SEGUNDO GRAU INCOMPLETO,N
346669,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"1995",S,L1,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
348850,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BONITO,PE,BRA,CENTRO,BONITO,PE,F,"2002",S,L2,ENSINO SUPERIOR,ENSINO MEDIO,N
346537,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CACHOEIRINHA,PE,BRA,CENTRO,CACHOEIRINHA,PE,F,"2003",S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
350046,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CAIEIRAS,SP,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2000",S,L5,ENSINO MEDIO,ENSINO MEDIO,N
